"Company.Name","YEAR","ROE","ROC","NPM","DIV","DEP","Beta","P.E","P.B","EVEBITDA","PSALES"
"Autocomps India Ltd.",1985,7.09,9.88,1.08,8.01,128.1,0.89,14.25,0.64,7.6,0.43046649445373
"Autocomps India Ltd.",1985,14,9.03,-130,157.64,5.9,0.84,21.03,3.36,5.92,0.887872408293461
"Autocomps India Ltd.",1985,28.37,24.81,3.65,8.35,3729.3,0.98,12.69,6.92,0,0.452177444448021
"Autocomps India Ltd.",1985,-35.95,18.13,6.44,0,22.5,1.19,16.67,2.22,0.85,0.531645817044566
"Autocomps India Ltd.",1985,19,2.21,1.51,21.44,85.2,0.89,14.7,1.2,7.09,0.386284722222222
"Autocomps India Ltd.",1985,5.2,-12.66,12.74,0,328.1,0.84,84.44,1.67,13.09,0.175826965418987
"Autocomps India Ltd.",1985,-6.52,9.22,-2.75,10.72,137.2,0.92,3787.92,4.79,13.62,41.6602087747403
"Autocomps India Ltd.",1985,8.72,10.47,2.52,20.43,46.3,0.9,15.75,1.38,4.12,6.21296296296296
"Autocomps India Ltd.",1985,-64.36,21.92,-1.07,0,3.9,0.17,41.8,5.62,11.63,2.67779688779689
"Autocomps India Ltd.",1985,38.08,6.18,13.28,0,17.4,1.15,10.93,0.53,5.32,1.05910112359551
"Autoline Industries Ltd.",1996,24.67,14.89,7.15,35.8,28.4,0.69,24.77,2.2,23.37,1.08959672427748
"Autoline Industries Ltd.",1996,20.23,12.41,8.05,29.21,43.2,1.29,8.03,1.39,7.68,0.649237487181184
"Autoline Industries Ltd.",1996,2.86,1.59,1.71,31.29,84.2,0.9,14.46,0.38,9.24,0.249488962346594
"Autoline Industries Ltd.",1996,7.46,4.11,4.43,21.17,104.7,1.04,10.3,0.75,7.53,0.460737455315769
"Autoline Industries Ltd.",1996,10.42,5.44,3.75,18.25,147.7,1.1,8.59,0.86,5.92,0.322968092074483
"Autoline Industries Ltd.",1996,19.6,9.81,6.45,14.58,194.6,1.1,10.24,0.93,6.42,0.312965506597731
"Autoline Industries Ltd.",1996,2.83,1.42,1.03,128.13,198.5,1.15,2.9,0.33,3.48,0.123502895551599
"Autoline Industries Ltd.",1996,-27.2,-13.25,-12.54,34.26,220.3,1.76,74.82,0.5,29.41,0.202133680198991
"Autoline Industries Ltd.",1996,-19.76,-9,-7.17,14.62,262.9,2.13,22.22,0.51,9.63,0.181294520716768
"Autoline Industries Ltd.",1996,-35.02,-14.04,-12.64,14.62,244.3,2.16,56.68,0.44,17.58,0.139944840920076
"Autolite (India) Ltd.",1977,-9.26,-2.28,-1.07,0,34.3,0.75,52.02,8.28,4.22,0.163410098698326
"Autolite (India) Ltd.",1977,22.72,12.29,5.59,0,32.7,1.26,11.71,2.42,4.42,0.663622047244095
"Autolite (India) Ltd.",1977,-0.81,-0.52,-0.29,0,42,1.27,21.9,0.58,3.36,0.205096999638511
"Autolite (India) Ltd.",1977,1.34,0.83,0.4,69.87,38.7,1.24,71.63,0.96,6.95,0.290470397404704
"Autolite (India) Ltd.",1977,2.49,1.59,0.63,0,38,1.27,30.89,0.74,4.12,0.195264069264069
"Autolite (India) Ltd.",1977,-25.17,-17.36,-5.57,0,37.6,1.27,15.5,0.5,3.42,0.120952160136023
"Autolite (India) Ltd.",1977,-4.22,-2.88,-1.1,0,36.4,1.23,31.27,0.41,1.4,0.119979947133352
"Autolite (India) Ltd.",1977,-2.39,-1.57,-0.65,0,34.6,1.08,11.35,0.56,3.77,0.166505738750228
"Autolite (India) Ltd.",1977,-1.21,-0.74,-0.35,0,20.4,1.13,42.9,1.15,7.56,0.364017948957652
"Autolite (India) Ltd.",1977,1.89,1.02,0.56,0,23.4,1.24,75.56,1.29,7.88,0.421403050108932
"Automobile Corpn. Of Goa Ltd.",1980,67.45,48.65,5.7,24.25,23.4,1.63,14.68,2.73,11.88,0.815334724493824
"Automobile Corpn. Of Goa Ltd.",1980,24.93,21.99,5.46,31.17,25.7,1.14,7.39,1.21,2.87,0.408663107646245
"Automobile Corpn. Of Goa Ltd.",1980,12.78,12.17,4.65,33.01,34.3,1.02,5.36,0.65,0.63,0.252837953029011
"Automobile Corpn. Of Goa Ltd.",1980,-2.04,-1.96,-1.06,0,42.3,0.9,21.03,1.16,82.18,0.602440999068939
"Automobile Corpn. Of Goa Ltd.",1980,19.8,18.94,6.94,35.3,46.3,0.84,8.43,1.58,4.54,0.593365212193664
"Automobile Corpn. Of Goa Ltd.",1980,16.38,16.01,6.78,38.82,47.3,0.84,9.35,1.18,3.69,0.529409793022541
"Automobile Corpn. Of Goa Ltd.",1980,9.68,9.47,5.34,51.38,53.8,0.74,7.09,0.86,3.52,0.510294014208342
"Automobile Corpn. Of Goa Ltd.",1980,10.28,10.09,5.27,55.15,54,0.68,9.54,0.96,5.08,0.515911228136167
"Automobile Corpn. Of Goa Ltd.",1980,6.17,6.07,2.56,63.17,59,0.67,26.61,1.62,9.57,0.69365630578856
"Automobile Corpn. Of Goa Ltd.",1980,9.28,9.12,3.7,58.32,55.6,0.72,16.48,1.51,8.63,0.620162139879998
"Automotive Axles Ltd.",1981,48.58,28.42,7.61,35.22,170.9,0.73,19.2,8.21,10.93,1.27634063984433
"Automotive Axles Ltd.",1981,37.56,23.64,6.5,17.6,208.9,0.64,10.5,3.71,6.22,0.673113174368713
"Automotive Axles Ltd.",1981,3.12,2.32,1.84,42.75,185,0.81,5.21,0.75,1.54,0.436409131418386
"Automotive Axles Ltd.",1981,22.69,17.37,5.84,29.16,210,0.94,23.1,3.15,16.74,0.831776757618276
"Automotive Axles Ltd.",1981,26.06,20.11,5.05,26.25,233.9,0.96,11.85,2.71,7.61,0.544870596381892
"Automotive Axles Ltd.",1981,17.34,14.12,4.12,33.56,273.9,0.96,11.56,2.95,7.09,0.71822367389118
"Automotive Axles Ltd.",1981,4.47,3.75,1.67,23.78,285.3,0.96,14.38,1.61,4.77,0.603153750405888
"Automotive Axles Ltd.",1981,6.18,4.95,2.26,20.79,294.8,1.09,47.9,2.07,11.54,0.768133220521498
"Automotive Axles Ltd.",1981,3.56,2.83,2.02,14.33,173.2,0.65,62.35,4.13,34.88,2.37343939854192
"Automotive Axles Ltd.",1981,10.98,9.58,2.8,23.9,394.5,0.47,25.65,2.71,9.17,0.71798328717874
"Automotive Stampings & Assemblies Ltd.",1990,1.13,0.53,0.12,14.13,108.2,1.27,21.38,2.37,6.79,0.252917886972557
"Automotive Stampings & Assemblies Ltd.",1990,9.8,4.27,1.17,35.58,115.4,1.12,13.94,1.35,5.93,0.163473087658951
"Automotive Stampings & Assemblies Ltd.",1990,-10.01,-3.51,-1.03,24.43,135.3,1.02,42.9,0.6,5.15,0.0589968031663876
"Automotive Stampings & Assemblies Ltd.",1990,9.93,3.57,0.87,29.71,135,0.88,21.72,2.1,4.78,0.189242508017251
"Automotive Stampings & Assemblies Ltd.",1990,22.55,9.03,1.66,20.06,129.7,0.91,7.48,1.56,4.23,0.124825872328915
