"YEAR","ROE","ROC","NPM","DIV","DEP","Beta","P.E","P.B","EVEBITDA","PSALES"
1988,13.42,1.19,0.23,13.2257101865136,3.7,0.56,12,0.68,9.9,0.253651143565721
1988,13.72,2.66,0.89,13.2257101865136,5.2,0.87,11.72,0.72,173.58,0.0577179418821647
1992,11.45,7.29,2.49,20.19,7.6,0.64,14.47,1.36,6.93,0.287984693877551
1992,7.13,2.92,2.01,13.2257101865136,5.4,1,14.8,0.79,15.31,0.298182216381954
1992,5.65,1.45,1.69,13.2257101865136,8.1,1.09,14.9,0.62,19.82,0.259461836088639
1992,9.02,1.98,1.02,13.2257101865136,35.1,0.94,34.82,2.41,9.94,0.354875588433087
1992,1.63,0.41,0.22,13.2257101865136,34.2,0.95,276.8,4.08,15.58,0.634295465626524
1973,2.31,1.68,0.25,13.2257101865136,5.8,0.95,12,0.74,5.85,0.0816959261760072
1973,4.15,2.73,0.46,13.2257101865136,6,1.14,11.31,0.46,6.53,0.0519487064620898
1973,4.08,2.53,0.54,13.2257101865136,6.2,1.14,4.82,0.21,5.01,0.0267006591219997
1973,5.28,3.43,0.83,13.2257101865136,7.2,0.85,6.31,0.31,4.76,0.0523984289485545
1973,4.4,2.69,0.63,13.2257101865136,8.1,0.73,5.64,0.24,5.56,0.0359398415756797
1973,4.07,2.05,0.56,13.2257101865136,10.6,0.73,1.73,0.25,5.66,0.0343873137914464
1973,3.02,1.31,0.42,13.2257101865136,12.9,0.64,7.34,0.14,4.86,0.0193772443772444
1973,2.41,1,0.45,13.2257101865136,13.2,0.59,13.53,0.25,4.97,0.0459625068252139
1966,27.58,11.83,7.03,11.37,52.2,1.44,9.06,1.56,3.84,0.420063427477262
1966,25.94,12.59,7.27,13.83,56,1.51,6.34,1.47,3.73,0.464357611108243
1966,1.93,0.92,0.71,13.2257101865136,63.7,1.24,16.59,0.31,3.24,0.120847241609516
1966,4.7,2.01,2.11,13.2257101865136,71,1.32,14.72,0.67,5.67,0.311393873234632
1966,0.23,0.08,0.09,13.2257101865136,73.1,1.29,161.33,0.37,7.66,0.152040996642516
1994,19.45,10.2,2.52,13.2257101865136,4.6,1.48,5.37,0.7,9.43,0.334498455535685
1994,12.53,6.73,1.25,13.2257101865136,4.7,1.18,3.33,0.39,2.83,0.041653988263421
1994,0.61,0.33,0.12,13.2257101865136,5.8,1.43,42.22,0.26,5.11,0.0500691836331291
1994,6.32,3.46,0.92,13.2257101865136,6,0.46,4.08,0.25,4.37,0.0377459490740741
1994,4.78,2.3,1.15,13.2257101865136,5.9,0.46,9.03,0.46,5.24,0.11098976109215
1994,9.78,3.86,3.05,13.2257101865136,8.2,0.54,7.94,0.35,7.1,0.100655021834061
1973,6.43,9.77,0.22,13.2257101865136,175.5,1.32,25.01,1.33,3.79,0.601097464909768
1973,10.05,1.68,3.99,13.2257101865136,5,0.77,16.59,2.74,5.78,1.93532274223558
1973,1.66,6.49,1.62,22.48,2.2,0.64,6.06,0.8,8.72,0.143204792212654
1973,34.67,4.93,0.12,13.2257101865136,231.3,1.57,2.22,24.47,13.95,0.296269169595696
1984,3.27,13.15,2.49,13.2257101865136,1.9,0.54,3.04,0.41,16.58,1.46677357280308
1984,15.5,18.33,5.44,14.19,235.6,1.13,9.25,0.25,10.04,0.402366942367937
1984,40.56,14.08,1.17,13.2257101865136,8276.6,1.57,14.78,9.36,10.4375753228121,1.06463590387868
1999,41.36,16,3.18,13.2257101865136,14.1,0.45,6.77,0.44,7.43,0.548306048203729
1999,58.32,25.94,5.07,13.2257101865136,27.5,1.02,6.71,1.67,6.16,5.11630910227036
1999,8.96,4.38,1.24,13.2257101865136,20.8,1.08,15.35,0.42,3.24,0.105711695376247
1999,17.49,8.97,2.8,13.2257101865136,26,0.64,389.88,0.27,5.05,0.0635559865381325
1999,7.04,4.4,1.96,13.2257101865136,30.2,1.23,5.36,0.26,4.28,0.108162880573098
1999,2.82,1.72,1.03,13.2257101865136,36.2,1.13,6.09,0.22,4.09,0.0820086764344765
1999,1.73,0.95,0.48,13.2257101865136,36.8,0.87,33.84,0.35,5.67,0.0976248197133826
1999,0.62,0.34,0.18,13.2257101865136,41.3,1.32,138.42,0.85,9.19,0.254614689557248
1999,0.22,0.12,0.1,13.2257101865136,55.8,1.3,216.84,0.47,6.97,0.219329388560158
1982,6.17,2.44,1.45,13.2257101865136,2,1.19,17.03,0.65,7.43,0.0187881827300082
1982,7.98,0.45,3.87,32.57,0.6,1.33,12,0.73,25.9,0.00624226834488582
1982,9.24,5.23,92.26,13.2257101865136,8276.6,1.35,4.6,9.36,31.46,0.152683899850172
1982,35.51,3.03,2.94,13.2257101865136,118.5,1.19,10.09,0.77,9.12,6.52740327084164
1990,21.31,4.21,0.96,19.35,15.3,1.12,6.26,1.14,7.72,0.0546350983513944
1990,2.66,0.58,0.21,155.56,15.6,0.77,5.34,0.68,4.85,0.0552018633540373
1990,21.15,4.65,1.45,18.03,19.9,0.52,5.28,0.89,6.14,0.0663140207853631
1990,4.57,0.97,0.34,67.92,23.9,0.52,15.35,0.7,5.78,0.052841762643966
1990,1.51,0.27,0.08,200,25.4,0.52,10.74,0.53,5.56,0.0300978455602003
1990,0.26,0.04,0.01,3600,25.6,0.44,4.6,0.78,6.16,0.0396146367332508
1990,9.71,1.73,0.49,29.27,26.4,0.45,4.42,0.6,6.04,0.031921631550057
1990,10.47,1.78,0.53,27.07,15.1,0.66,6.47,0.65,6.69,0.0343048522786173
1990,3.27,0.56,0.22,92.31,17,0.66,14.78,0.68,6.73,0.0457093618531096
1989,25.52,8.53,7.93,5.55,536.3,1.33,8.96,2.17,6.92,0.751751547025067
1989,17.26,6.35,6.28,14.54,530.6,1.39,9.5,1.52,6.28,0.617010004994929
1989,10.36,3.73,3.84,26.07,541.3,1.17,5.34,0.56,4.76,0.207721628196425
1989,13.46,4.62,5.67,19.64,555.7,1.14,10.51,1.35,8.1,0.611988391013205
1989,8.84,3.01,2.96,29.33,799.7,1.15,13.95,1.19,6.8,0.416526487146442
1989,2.1,0.66,0.6,50.25,864.7,1.15,18.65,0.61,5.56,0.189619417194919
1987,66.21,3.12,3.12,13.2257101865136,132.1,1.39,33.34,5.73,15.07,1.04278077015837
1934,6.47,12.76,3.25,13.2257101865136,2179.8,1.26,10.28,0.46,11.3,0.983533425397338
1934,13.95,2.59,1.77,13.2257101865136,222.7,1.19,7.92,0.16,5.79,0.119047619047619
1934,4.71,5.53,0.25,13.2257101865136,347.7,1.19,2.38,0.41,4.01,0.0227021490001921
1934,28.34,8.43,13.74,13.2257101865136,384.2,1.38,2.2,167.2,32.11,1.34813465162598
1993,4.18,3.69,6,13.2257101865136,1.1,0.41,1.91,0.77,10.4375753228121,1.598
1993,5.88,5.25,10.53,13.2257101865136,0.8,1.17,10.87,0.78,25.9,2.74444444444444
1993,6.66,6,9.78,13.2257101865136,0.8,1.31,13.95,2.65,16.58,3.17410714285714
1993,6.17,5.63,7.89,13.2257101865136,1.1,1.08,4.08,0.06,6.84,269.408243727599
1993,1.86,12.59,2.49,18.03,3.6,0.75,4.93,0.59,5.3,0.721258156477669
1993,1.91,6.49,1.12,13.2257101865136,611.8,1.58,12.97,0.42,4.92,0.780814617298091
1991,22.09,14.12,3.99,13.2257101865136,2,0.73,8.99,0.25,7.65,0.899202127659575
1991,1.71,1.08,0.29,13.2257101865136,2.2,1.37,92.85,0.69,6.07,0.728152128978917
1991,8.58,5.52,1.17,13.2257101865136,2.2,1.13,5.36,1.15,15.24,0.747395171537484
1991,14.08,9.36,1.86,13.2257101865136,2.2,1.07,2.38,0.92,29.21,3.53267597918378
1991,6.35,4.55,0.52,13.2257101865136,2.2,1.14,5.64,0.69,7.43,0.0498733010826998
1991,3.78,2.15,0.28,13.2257101865136,2.3,1.21,27.63,0.68,3.41,0.287863414634146
1991,19.85,0.3,0.3,13.2257101865136,7.3,0.68,111.99,1.15,4.17,214.394831460674
1991,13.16,5.1,20.14,1.25,2919.1,1.13,48.77,0.03,13.95,1.9590855816957
1994,4.78,13.15,1.6,13.2257101865136,3.8,1.22,2.89,0.41,8.1,0.271676665614146
1994,39.61,114.49,4.84,13.2257101865136,3.6,0.87,4.6,0.44,6.46,38.6434203789043
1994,16.32,2.92,1.66,12.27,2.7,1.33,5.38,0.69,10.81,2.97857142857143
1994,2.6,11.99,0.98,13.2257101865136,2399.3,1.41,4.6,4.38,9.57,0.355238990492736
1994,27.19,13.64,12.89,15.87,4982.3,1.15,6.37,1.65,5.52,0.870313941957093
1994,26.95,13.6,13.1,15.15,6871.8,1.16,9.09,2.09,6.21,1.22394941603157
